artist_name	artist_image	spotify_url
408	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1m2wYIvVYvhEnvdaOJbIfT
4th Curtis	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4j6cIg3cUwqmA8wC8cijM9
5aled M7amad		https://open.spotify.com/artist/0tudBfsy19DIwKebyQV8rj
5leefeh El Blooshi		https://open.spotify.com/artist/4WGpAuX9toAVyVL38o5wA0
65daysofstatic	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/6DVVsQAnpHdJjb1nYuOQ6g
6:33	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0oBPg2seHzVcAIOpdi1Ojj
7 Year Bitch	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/535KSdsDbNGj6w6eCBkRP5
7amad El 3amry/7arbi El 3amry		https://open.spotify.com/artist/6BvzpUCVj93EGHBLDZBZSG
7amad el 3amry		https://open.spotify.com/artist/5abSRg0xN1NV3gLbuvX24M
7arbi El 3amry		https://open.spotify.com/artist/6BvzpUCVj93EGHBLDZBZSG
7beeb El Yasi		https://open.spotify.com/artist/7MGFOSQK8O3im8YslR3DLB
7sain el Jasmi		https://open.spotify.com/artist/1TcEy92Hugt8o9STqUDz2D
7sam Kamel		https://open.spotify.com/artist/20T7aJPzK6LoFR0GRFdNW8
90'sdreamboy		https://open.spotify.com/artist/03i7AdjvxoQCgJRNBh3NyQ
988 DJs		https://open.spotify.com/artist/5XphhGbDCcHKn3Pz7ZbmQP
:Wumpscut:	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3TTbkikkCAbUg2j5i9UrTV
A Better Tomorrow	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/7pJhPkRVKVMjb3PZc19YLM
A Capella Science	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0VCjLxt3P5JMBBE2L4zHFJ
A Constant Knowledge of Death	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1wPNNuO8XmHMxCvjl3SKPT
