album_name	artist_name	release_year	genre	release_type	cover_art_url	spotify_url	mbid	country	release_length	tracks_mb	spotify_id
1000 gecs	100 gecs	2019.0	Hyperpop, Deconstructed Club, Trap, Electropop, Emo Rap	Album	https://i.scdn.co/image/ab67616d0000b2734123c0f9b6689205d20f350f	https://open.spotify.com/album/2uhB1KivbFnlkARpbd0Cvu	cafcbe7e-92d1-4ff5-b89d-77a3ba0b062d	XW	23.0	10.0	2uhB1KivbFnlkARpbd0Cvu
1000hp	Godsmack	2014.0	Hard Rock, Alternative Metal	Album	https://i.scdn.co/image/ab67616d0000b2736b617d73223650885b253935	https://open.spotify.com/album/1rn6jiZHqKebeubezws1qI	45b0122c-43f8-42c2-9b25-25b8254db356	US	45.0	10.0	1rn6jiZHqKebeubezws1qI
1039/Smoothed Out Slappy Hour	Green Day		Pop Punk, Punk Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/ba6e13b3954048b5a6f1e4c847b4caf3.jpg		3f72cf7f-1556-47af-9bec-8474942b7237	XW	3.0	1.0	
11 Short Stories of Pain & Glory	Dropkick Murphys	2017.0	Celtic Punk, Celtic Rock	Album	https://i.scdn.co/image/ab67616d0000b27356f87d7f820a73defa0b99fe	https://open.spotify.com/album/2x8e1IYd6eaQzAi7X2oRMB	4cee4b0e-4a97-4d44-baf1-36ab721e2c36	AU	38.0	11.0	2x8e1IYd6eaQzAi7X2oRMB
12 Inch Cock	Grant MacDonald	2012.0	Hard Rock, Novelty, Outlaw Country, Queercore, Alternative Metal, Country Rap, Poetry, Pop Rock	album	https://i.scdn.co/image/ab67616d0000b273f01bbdba1b424e370beda046	https://open.spotify.com/album/005OMPfmvPUQ8YPrP2toBE	2723d669-6980-41ed-a923-fd268c34ccee	XW	73.0	9.0	005OMPfmvPUQ8YPrP2toBE
12 Songs From Home	Ludovico Einaudi	2020.0	Western Classical Music	album	https://i.scdn.co/image/ab67616d0000b27396e41f49a103054c14be142e	https://open.spotify.com/album/5jxMth5zvt6qZId5Llplqi	03f88768-2ffe-4f11-b92f-85f9a1aaee2e	AF	69.0	12.0	5jxMth5zvt6qZId5Llplqi
12 Stones	12 Stones	2002.0	Post-Grunge, Nu Metal, Christian Rock, Alternative Rock	Single	https://i.scdn.co/image/ab67616d0000b273f31dc1c8f4d83b536c001314	https://open.spotify.com/album/6b4yBifPBp1fTMlmOb6KC6	445609b9-471a-4bb1-8cfa-9b0ce98ffd0d		38.0	11.0	6b4yBifPBp1fTMlmOb6KC6
1234	Clown Core	2021.0	Experimental Rock, Electronic Dance Music, Jazz Fusion, Ambient Techno, Avant-Garde Metal, Drumstep	Album	https://i.scdn.co/image/ab67616d0000b273a3503203ff39a64af5a312a6	https://open.spotify.com/album/755eSsuAVASN3rAouQzBfj	6c6f9536-a7fb-47a3-80bd-426d430a7223	XW	8.0	4.0	755eSsuAVASN3rAouQzBfj
13 Voices	Sum 41	2016.0	Alternative Rock, Alternative Metal, Melodic Hardcore	album	https://i.scdn.co/image/ab67616d0000b273f206fb78ea18c379191dba77	https://open.spotify.com/album/3eCvEIqh8lZzfQbXt9Zndb	8b588a62-1858-4610-aec0-9f4fc87eaed6	XW	37.0	10.0	3eCvEIqh8lZzfQbXt9Zndb
14 Shades Of Grey	Staind	2003.0	Post-Grunge, Alternative Rock, Alternative Metal	album	https://i.scdn.co/image/ab67616d0000b27302a1d72dbb73423edb1408be	https://open.spotify.com/album/6PntFOrFJdHpXE9xzjhkyR	798954ef-3006-4018-819d-090e0401ce2e	XE	62.0	14.0	6PntFOrFJdHpXE9xzjhkyR
16	Einar Solberg		Art Pop, Progressive Pop, Art Rock, Symphonic Rock, Progressive Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/cd49eff298a419cada0736f5a07bc402.jpg	https://open.spotify.com/album/25jWll9IwvwbKSChqKmMdG	83326c3a-4c9e-43f2-8869-e5f10be91411	XW	69.0	11.0	25jWll9IwvwbKSChqKmMdG
17th Street	Hammers of Misfortune	2011.0	Progressive Metal, Heavy Metal	Album	https://i.scdn.co/image/ab67616d0000b27368d194917b52958c08acbd18	https://open.spotify.com/album/1EgVHwc07uFRklD5p53wYT	e04e382c-178d-4138-a8f3-4d504c5b8e59	XE	49.0	9.0	1EgVHwc07uFRklD5p53wYT
1984	Van Halen	1984.0	Hard Rock, AOR, Heavy Metal, Pop Rock	album	https://i.scdn.co/image/ab67616d0000b273b414c63fb435b622238c15ed	https://open.spotify.com/album/3REUXdj5OPKhuDTrTtCBU0	27427488-22cc-4e4f-b6ea-25fc5d8c5b29	US	33.0	9.0	3REUXdj5OPKhuDTrTtCBU0
2 Looney 2 Moons	Empire Bathtub	2021.0	Progressive Metal, Comedy Rock, Space Rock, Spoken Word, Post-Metal	Album	https://i.scdn.co/image/ab67616d0000b273f3721389380239de66bcca7d	https://open.spotify.com/album/3eey1eRs4PKnJtSRsYwfzw	72beca95-e72f-4ba1-8ed0-f4d8c28f6f7b	XW	48.0	15.0	3eey1eRs4PKnJtSRsYwfzw
20	HYUKOH	2014.0	Indie Rock, Indie Pop, Funk Rock, Dream Pop, Jangle Pop	single	https://i.scdn.co/image/ab67616d0000b2731ca37e9bcd0cc377a82aec48	https://open.spotify.com/album/6bzkEKKOMT3I3jaIrUtEaO	490fc65e-3275-43fc-ba67-961260f1bf53	JP	23.0	6.0	6bzkEKKOMT3I3jaIrUtEaO
20 Centuries Gone	Spirit Adrift	2022.0	Heavy Metal, Traditional Doom Metal, Gothic Metal, Stoner Metal	album	https://i.scdn.co/image/ab67616d0000b2734dc00a3eb224906a7c1760a4	https://open.spotify.com/album/2ZcnlqVOsNIFTgzomaK2EJ	b5726086-d540-4a47-ba8b-ec08211da248	XW	37.083333333333336	8.0	2ZcnlqVOsNIFTgzomaK2EJ
200 KM/H In The Wrong Lane	t.A.T.u.	2002.0	Europop, Electropop, Pop Rock, Dance-Pop, Alternative Rock, Breakbeat, Electropop, Alternative Dance	album	https://i.scdn.co/image/ab67616d0000b2733b27e1cd8a6bc6804c2e5fd2	https://open.spotify.com/album/4vyPN44zoiJXE6hruCCrGB	e3b00559-754b-4e3d-8cf1-d12b2f4713e4	JP	59.0	15.0	4vyPN44zoiJXE6hruCCrGB
20000 Watt RSL - The Midnight Oil Collection	Midnight Oil	1997.0	Alternative Rock, Post-Punk, Pub Rock, Alternative Rock, New Wave	compilation	https://i.scdn.co/image/ab67616d0000b27318c8f4eca624b080ed00ba42	https://open.spotify.com/album/2H371tT3IIvmqji0iZCp0O	0dc3e9b7-163b-4f24-a2cd-2b23a9369d49	GB	16.441766666666666	4.0	2H371tT3IIvmqji0iZCp0O
2084	Anderwelt	2020.0	Post-Metal	Album	https://i.scdn.co/image/ab67616d0000b2738f381acc66f9516dd2af9468	https://open.spotify.com/album/17E1i9NbJSACgApweeX8Yp	050c913c-fac2-40fc-9a7a-545c65af89c2	XW	40.0	4.0	17E1i9NbJSACgApweeX8Yp
2112	Rush		Progressive Rock, Hard Rock, Rock Opera	Album	https://lastfm.freetls.fastly.net/i/u/300x300/8e0a8fc687b12b6a318270e1461dfc4d.jpg	https://open.spotify.com/album/5g5aKkI0ExfU4kDvADP6JK	8e83cfb1-0c9b-4ae3-92f0-effa16f8ea13	US	38.0	6.0	5g5aKkI0ExfU4kDvADP6JK
21st Century Breakdown	Green Day	2009.0	Pop Punk, Rock Opera, Pop Rock, Alternative Rock, Piano Rock, Punk Rock	Album	https://i.scdn.co/image/ab67616d0000b273c2ced39899b0d67cd5a724fa	https://open.spotify.com/album/1AHZd3C3S8m8fFrhFxyk79	943f5800-9ccc-4611-9ae4-ccb56f851eb6	ZA	69.0	18.0	1AHZd3C3S8m8fFrhFxyk79
21st Century Liability	YUNGBLUD	2018.0	Rap Rock, Alternative Rock, Electropop, Indie Pop, Alt-Pop	album	https://i.scdn.co/image/ab67616d0000b273c783f6b606da7235a9c79dd3	https://open.spotify.com/album/1p64R5tjTpC2oH24YLdQgq	2ece3077-6ce5-4a8f-83b1-6dc220e8b662	AF	35.0	12.0	1p64R5tjTpC2oH24YLdQgq
2222	chaosbay	2022.0	Alternative Metal, Djent, Progressive Metal	album	https://i.scdn.co/image/ab67616d0000b273db0d2a6552c571717d560ac5	https://open.spotify.com/album/5pvidRdAjXSI63JAR3aJNk	d47a6111-9895-49ca-a817-8219b9fd9b51	XW	42.42101666666667	12.0	5pvidRdAjXSI63JAR3aJNk
23 Live Sex Acts	Against Me!	2015.0	Punk Rock, Folk Punk	Album	https://i.scdn.co/image/ab67616d0000b2738499ff323d4e83894a15f784	https://open.spotify.com/album/1PyGtfzIs37NZW6vsQ0Ezf	9ac93da8-e7e9-4ee9-a87c-2016c9a97bfe	US	86.54163333333334	23.0	1PyGtfzIs37NZW6vsQ0Ezf
24 Hour Revenge Therapy	Jawbreaker	2014.0	Punk Rock, Emo, Pop Punk, Pop Punk, Post-Hardcore	album	https://i.scdn.co/image/ab67616d0000b273056f143d4a74894786933918	https://open.spotify.com/album/3n1jTsW0E5gEsiftAFx3N6	c356a573-95fb-490e-a246-3a0d4b7bdf48	XW	54.0	17.0	3n1jTsW0E5gEsiftAFx3N6
25	Adele	2015.0	Pop Soul, Adult Contemporary	Album	https://i.scdn.co/image/ab67616d0000b2737b9888dc365b8f957c63df14	https://open.spotify.com/album/6TVfiWmo8KtflUAmkK9gGF	0c0fa6cd-004e-435c-bf57-7b3ccac115d0	RU	48.0	11.0	6TVfiWmo8KtflUAmkK9gGF
27 Days	Erase The Grey	2002.0	Post-Grunge, Nu Metal	single	https://i.scdn.co/image/ab67616d0000b273ab8dca7d462fe80adc1cf868	https://open.spotify.com/album/2SsvVomCCuOtkLCjjd5cQr	bc9459b7-a050-45a0-bf55-f2fcf3665dc3	US	19.0	5.0	2SsvVomCCuOtkLCjjd5cQr
28 Days In The Valley	Dorothy	2018.0	Hard Rock, Pop Rock	Album	https://i.scdn.co/image/ab67616d0000b273706af6c57597c91e4c7dc55f	https://open.spotify.com/album/3Wl7Bde5TcxZX3ZJweBE9d	c46c317b-3627-4f21-8f54-4e23dd264e2e	US	53.352	13.0	3Wl7Bde5TcxZX3ZJweBE9d
2R0I2P0	Boris	2020.0	Noise, Post-Metal, Drone Metal, Shoegaze, Post-Rock, Noise Rock, Harsh Noise	Album	https://i.scdn.co/image/ab67616d0000b273d3ff6e1822f59e5c8c3dc8b9	https://open.spotify.com/album/3yHKmmc0q9KDfLrdX2FKEE	110ce767-b13f-414f-8c0d-1d20ce799331	US	77.0	10.0	3yHKmmc0q9KDfLrdX2FKEE
3 Doors Down	3 Doors Down	2008.0	Post-Grunge	Album	https://i.scdn.co/image/ab67616d0000b27331764f30f76e867c2dc806e6	https://open.spotify.com/album/6aQozyBmD8Edzid1TN7bZA	5228ff80-8233-32d1-930c-90bb06d43689	SE	45.0	12.0	6aQozyBmD8Edzid1TN7bZA
3 Libras PT 1	A Perfect Circle	2010.0	Alternative Rock, Art Rock, Symphonic Rock, Post-Grunge	Album	https://i.scdn.co/image/ab67616d0000b27350bc509922122a739fb62766	https://open.spotify.com/album/07rljSKn3TIDYEgV51WQl5	66357878-2672-4a10-889f-42ca3e412eee	XW	88.1666	19.0	07rljSKn3TIDYEgV51WQl5
30 Seconds to Mars	30 Seconds to Mars		Alternative Rock, Alternative Metal, Progressive Rock, Space Rock Revival	Single	https://lastfm.freetls.fastly.net/i/u/300x300/b34f59c7c3d293afc157c80b5338a329.jpg		14e18dc2-c381-4c30-b973-35e02f0a075a	TH	53.0	11.0	
333	Bladee	2020.0	Cloud Rap, Ambient Pop, Trap, Art Pop, Pop Rap	Album	https://i.scdn.co/image/ab67616d0000b273d754d2ef29e3f7dcd73caa3b	https://open.spotify.com/album/38grabLpTHYySHEyG0TyUN	3ba7dd4b-9d0c-4b24-bda9-d1ba44882487	XW	37.0	16.0	38grabLpTHYySHEyG0TyUN
3D Country	Geese		Art Punk, Indie Rock, Alt-Country, Art Rock, Southern Rock, Experimental Rock, Alt-Country	Album	https://lastfm.freetls.fastly.net/i/u/300x300/cacb005926cc26320a5ff537288cc466.jpg	https://open.spotify.com/album/3453dOJZDbTPog3TyLklI4	5b5c716f-8a4a-4aa4-a39c-f0c93dcf2be7	XW	8.0	2.0	3453dOJZDbTPog3TyLklI4
3rd Degree - The Raising	Gemini Syndrome	2021.0	Alternative Metal	Album	https://i.scdn.co/image/ab67616d0000b27323b27fdce238923912902f6d	https://open.spotify.com/album/3dSFwESrviePBbeILe0RHr	ab85bb9a-a1fa-41fe-bda2-247cfeef1b09	XW	46.833333333333336	13.0	3dSFwESrviePBbeILe0RHr
4	Slash	2022.0	Hard Rock	album	https://i.scdn.co/image/ab67616d0000b2730190277bdeb8e343a59e175a	https://open.spotify.com/album/5hEFdC1iEWOjgQgiRqdtXQ	c374b9e9-74b7-4f0f-b426-21927e45efdd	XW	22.2	4.0	5hEFdC1iEWOjgQgiRqdtXQ
4	Diagonal	2021.0	Progressive Rock, Canterbury Scene, Psychedelic Rock	Album	https://i.scdn.co/image/ab67616d0000b2737f2e0256ac8b69e79bcf7de6	https://open.spotify.com/album/28dFcIcMRcKGrC1ZU496wD	e513babf-8d35-4fcc-842e-49d452495467	XW	36.0	5.0	28dFcIcMRcKGrC1ZU496wD
4 ½	Steven Wilson		Progressive Rock, Art Rock, Alternative Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/43ba466105c2f2ac4ea7688e649f7d04.jpg		896bade3-64e7-45eb-b4d8-a9bd5064a0f3	US	37.0	6.0	
40 Miler	Tim Barry	2012.0	Contemporary Folk, Singer-Songwriter	album	https://i.scdn.co/image/ab67616d0000b2739d9029913d7b0bd16a63ab8e	https://open.spotify.com/album/19ra0EnSPdwCDWxfDTJoQj	07e2d8c4-4813-437b-896d-1aafd36421c4	US	39.0	13.0	19ra0EnSPdwCDWxfDTJoQj
40 oz. to Fresno	Joyce Manor	2022.0	Power Pop, Indie Rock, Pop Punk, Emo	album	https://i.scdn.co/image/ab67616d0000b273e8e5275b1a3a368b87a580b4	https://open.spotify.com/album/4HQdEvcc2M4PP5iDIS9TE3	da324455-08b1-4b3f-98c7-32aea330c97e	XW	16.666666666666668	9.0	4HQdEvcc2M4PP5iDIS9TE3
44	The Mayan Factor	2005.0	Art Rock, Alternative Rock, Post-Grunge	album	https://i.scdn.co/image/ab67616d0000b2735387eb19d3a95e0834fb5d06	https://open.spotify.com/album/1zsPkqNGMQkA1hQW4uamGK	086e1054-ffcd-45ef-994a-01d19ffe6d2a	US	56.0	12.0	1zsPkqNGMQkA1hQW4uamGK
5	Lenny Kravitz	1998.0	Funk Rock, Pop Rock, Pop Soul	album	https://i.scdn.co/image/ab67616d0000b273f1157b7dcd21bae0c2c75d89	https://open.spotify.com/album/6MCNMOCRsh6nxs7PNzc0zN	d4deb9de-3c1d-4239-9824-cbe25010d77b	ZA	75.79368333333333	15.0	6MCNMOCRsh6nxs7PNzc0zN
6-Sense	Mushi-P	2016.0	Art Pop, J-Pop	album	https://i.scdn.co/image/ab67616d0000b27302beb6b714ac711273b61277	https://open.spotify.com/album/5f4ZAuHj5kRlRejmvmdN0o	f0c33d7b-c65b-4aab-8061-768b07aa4395	AF	46.0	12.0	5f4ZAuHj5kRlRejmvmdN0o
679 (feat. Remy Boyz)	Fetty Wap		Pop Rap, Ratchet Music, East Coast Hip Hop, Snap	Single	https://lastfm.freetls.fastly.net/i/u/300x300/cffeafef8ec67851a1c7fe53e9612a98.png	https://open.spotify.com/album/0TyDTzG2zt2tg0wONT9wSU	8eb4dbd0-1afa-49a0-b895-7c06c218b14a	XW	3.0	1.0	0TyDTzG2zt2tg0wONT9wSU
72 Seasons	Metallica	2023.0	Heavy Metal, Thrash Metal	album	https://i.scdn.co/image/ab67616d0000b273cf2420c5c82d351496e8fd9e	https://open.spotify.com/album/6UwjRSX9RQyNgJ3LwYhr9i	8897725a-38b9-4228-a649-d6098586cd58	AF	77.0	12.0	6UwjRSX9RQyNgJ3LwYhr9i
777	Boil			Album			f535ef7f-e9f3-444d-a006-58dcc81dabf5	DK	49.18171666666667	12.0	
7th Symphony	Apocalyptica	2010.0	Alternative Metal, Symphonic Metal	Single	https://i.scdn.co/image/ab67616d0000b2735fc0483633fbf2fa6a616dec	https://open.spotify.com/album/50CgWtzWF5oLz7XMzZAG6Z	b711481c-af7a-48f5-8d66-d2c6c6c606d0	FI	82.0	19.0	50CgWtzWF5oLz7XMzZAG6Z
8 Years Later	The Pineapple Thief	2016.0		album	https://i.scdn.co/image/ab67616d0000b27321bb98c1dba7dcb6dc880f00	https://open.spotify.com/album/1bPaM4vbjgWkyKgsooeSiH	5d15441b-b63a-4b85-b1b9-6231d6190663	GB	40.0	7.0	1bPaM4vbjgWkyKgsooeSiH
9 to 5 and Odd Jobs	Dolly Parton	1980.0	Urban Cowboy, Disco	Album	https://i.scdn.co/image/ab67616d0000b273060ccf36ab5b0e0a739799ec	https://open.spotify.com/album/64Ky1tqKPfwxhJs6msphWd	205e6300-1a64-4ced-9bc4-3a2b654008f0	XE	35.616616666666665	10.0	64Ky1tqKPfwxhJs6msphWd
99.9 F	Suzanne Vega	1992.0	Singer-Songwriter, Art Pop, Folk Pop, Alternative Rock, Folk Rock	album	https://i.scdn.co/image/ab67616d0000b2731e6c4bb0511da474ac06cb05	https://open.spotify.com/album/03EEf4WnO2irH5NQvuY4Ul	ec00a7d4-6e07-45b0-8072-37fd662a099b	US	37.0	12.0	03EEf4WnO2irH5NQvuY4Ul
9th & Walnut	Descendents	2021.0	Punk Rock, Pop Punk, Skate Punk	Album	https://i.scdn.co/image/ab67616d0000b2738ca9b28a3f23c5b8b27f922e	https://open.spotify.com/album/2nWhDLqVYsmlsiw1K2PkFs	157169be-3b16-439c-a707-216214757dfc	XE	25.0	18.0	2nWhDLqVYsmlsiw1K2PkFs
:KTONIK:	Votum	2016.0	Progressive Metal, Progressive Rock, Post-Metal, Post-Rock	album	https://i.scdn.co/image/ab67616d0000b2733907dbe43b2798dc1d5320a6	https://open.spotify.com/album/1nAdPwyuEOEGlZp6DlYfNp	c763b6d5-af0a-4a58-b1dd-5337b8e8dbff	XW	49.0	9.0	1nAdPwyuEOEGlZp6DlYfNp
A Bad Girl In Harlem	New Politics	2013.0	Pop Rock, Alternative Rock, Pop Punk, Power Pop, New Wave	album	https://i.scdn.co/image/ab67616d0000b273fd910d582980afe314abb0b8	https://open.spotify.com/album/2pKVER4FshWhYv6yk8uIbI	691523f5-40e2-41af-815c-6acdfbf13c29	US	3.0	10.0	2pKVER4FshWhYv6yk8uIbI
A Beautiful Collapse	We Lost the Sea	2019.0	Post-Rock	single	https://i.scdn.co/image/ab67616d0000b273fda050d73f3359fba77033e7	https://open.spotify.com/album/51ubRg1h4wkPvA5F2HxV6s	b70d03aa-60ae-4f22-b71c-8a3ae96c5c27	XW	7.0	1.0	51ubRg1h4wkPvA5F2HxV6s
A Beautiful Lie	30 Seconds to Mars		Alternative Rock, Emo-Pop, Post-Hardcore	Album	https://lastfm.freetls.fastly.net/i/u/300x300/c46881ee723dc93c2a8b8ea7291585e5.jpg		c3abf966-c1b3-4133-bec8-ef659228b17c	US	38.0	10.0	
A Beautiful Lie	Thirty Seconds to Mars	2005.0	Alternative Rock, Emo-Pop, Post-Hardcore	album	https://i.scdn.co/image/ab67616d0000b273865b538169f199dac610b854	https://open.spotify.com/album/5sHvTCk793vr9EkSKcD7IT	c02688a5-3df2-4429-be3f-1e84f79597ad	XE	60.65083333333333	13.0	5sHvTCk793vr9EkSKcD7IT
A Boat on the Sea	Moron Police	2019.0	Progressive Rock, Pop Rock, Symphonic Prog, Progressive Pop, Alternative Rock, Country Rock, J-Rock, Progressive Metal	album	https://i.scdn.co/image/ab67616d0000b273b574577731a71927e845b18b	https://open.spotify.com/album/2ojezjS6Dw8MuSaI9OoOv7	cce39c3b-2ddb-40b4-b5ef-807e2fb215ee	JP	45.833333333333336	12.0	2ojezjS6Dw8MuSaI9OoOv7
