album_name	artist_name	release_year	genre	release_type	cover_art_url	spotify_url	mbid	country	release_length	tracks_mb	spotify_id
"""Bath"""	maudlin of the Well	2001.0	Progressive Metal, Avant-Garde Metal, Death Metal, Art Rock, Post-Metal, Chamber Music	album	https://i.scdn.co/image/ab67616d0000b273a686944f1d5c9976a78c3f08	https://open.spotify.com/album/2wA3MvoZFWXgOJqoY5ebyK	ba37df57-da05-49d5-be37-db81d1bd17b5	FI	66.0	11.0	2wA3MvoZFWXgOJqoY5ebyK
"""In Case I Make It,"""	Will Wood	2022.0	Singer-Songwriter, Folk Pop, Chamber Pop, Show Tunes, Baroque Pop, Progressive Pop, Indie Folk	album	https://i.scdn.co/image/ab67616d0000b273c477f199067849f57f8a1f4e	https://open.spotify.com/album/79NvH32h3zU5byLq2skBUK	b0e3bf2d-3ddd-41ec-a69e-8ac6850129b3	XW	72.0	16.0	79NvH32h3zU5byLq2skBUK
"""V"" Is for Vagina"	Puscifer	2007.0	Industrial Rock, Trip Hop, Electro-Industrial	album	https://i.scdn.co/image/ab67616d0000b2733f55e66734c050f72b96250f	https://open.spotify.com/album/6yDwA52kX9NSG21aNTWAuW	99e804b2-763b-40a4-b9e3-534bdc93e7bf	US	67.0	14.0	6yDwA52kX9NSG21aNTWAuW
(EP)	Deadly Circus Fire	2023.0		Album	https://i.scdn.co/image/ab67616d0000b273ed0a8966e44284d3b02baa87	https://open.spotify.com/album/3CLo2kchdyPeoySQf161qT	75fe4e5b-e931-4cee-8871-3787caeb073a	XW	62.7	12.0	3CLo2kchdyPeoySQf161qT
(How to Live) As Ghosts	10 Years	2018.0	Alternative Rock, Alternative Metal, Hard Rock, Post-Grunge	Album	https://i.scdn.co/image/ab67616d0000b273ce3da8b14aded1bb580e4088	https://open.spotify.com/album/3hxGz61bc3N84OA9q1Spl9	d4299b84-864e-48d7-9a10-fc639d4594e8	XW	57.0	15.0	3hxGz61bc3N84OA9q1Spl9
(re)constructed	Bicurious	2021.0	Math Rock, Math Rock, Post-Rock, Post-Hardcore	Album	https://i.scdn.co/image/ab67616d0000b2735fb3a41da1c290ac0e722907	https://open.spotify.com/album/6kNCgRGfMzTSm26IUaEr9J	e37b765a-06a4-4a9e-91ba-e25806ea15eb	XW	46.72463333333334	9.0	6kNCgRGfMzTSm26IUaEr9J
-!-	DEAD POET SOCIETY		Alternative Rock, Southern Rock, Garage Rock Revival, Hard Rock, Stoner Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/dbb6792a9520ba855e9d63fbc993e0fd.jpg		76cfe176-16d4-4460-b832-bb53ba6ef65f	US	46.0	16.0	
-><-	Collider		Noise Pop, Shoegaze, Experimental Rock, Jangle Pop, Math Rock, Progressive Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/8574f8b07f9ab67c22c194b1c02c0aea.jpg		795f2594-7799-480f-8196-073a36149845	XW	44.0	9.0	
...And Out Come the Wolves	Rancid	1995.0	Punk Rock, Ska Punk, Street Punk	album	https://i.scdn.co/image/ab67616d0000b273063237ed53d1a93007b9f16e	https://open.spotify.com/album/1HisV3ZKLs9It3KlGcPki5	fb3dcfc1-bb20-465b-b080-a5661299ac79	XW	49.0	19.0	1HisV3ZKLs9It3KlGcPki5
...And Then the Rains Came	Varoshan	2022.0	Post-Metal, Sludge Metal, Progressive Metal	album	https://i.scdn.co/image/ab67616d0000b273baff9138b545bd0a63c09d5b	https://open.spotify.com/album/58V3u9zZWibMMLF1x2gh4f			50.0		58V3u9zZWibMMLF1x2gh4f
...Like Clockwork	Queens of the Stone Age	2013.0	Alternative Rock, Hard Rock, Stoner Rock, Art Rock	album	https://i.scdn.co/image/ab67616d0000b273eee7c041844e45dd76469fa0	https://open.spotify.com/album/5T5NM01392dvvd4EhGrCnj	8786a039-235b-4070-8528-6d22b340e62e	RU	46.0	10.0	5T5NM01392dvvd4EhGrCnj
...Something to Be	Rob Thomas	2005.0	Pop Rock, Adult Contemporary, Soft Rock, Blue-Eyed Soul, Pop Soul	album	https://i.scdn.co/image/ab67616d0000b273db3d7550e11f7a132fb81c9f	https://open.spotify.com/album/07hC5JSKAodpBIVR6A772E	86512faf-76b9-4c6f-9629-d81a69700ca9	US	150.0	36.0	07hC5JSKAodpBIVR6A772E
...and Again Into the Light	Panopticon	2021.0	Atmospheric Black Metal, Post-Metal, Americana, Post-Rock	album	https://i.scdn.co/image/ab67616d0000b273e4e5f93f9e353cff278295a9	https://open.spotify.com/album/4QcHeJduU3DIvnSSkGNqHf	e3d3ec12-2172-4717-b2c1-dcb16e05a08c	US	71.0	16.0	4QcHeJduU3DIvnSSkGNqHf
...and Justice for All	Metallica	1988.0	Thrash Metal, Progressive Metal, Technical Thrash Metal	album	https://i.scdn.co/image/ab67616d0000b2737c05e69390ab7c628a83cee7	https://open.spotify.com/album/6Eycw3dwcDMEFSqkUvLQ7g	4e2b6e3c-1568-3ecd-ac6e-a77889cffdf3	JP	69.9415	10.0	6Eycw3dwcDMEFSqkUvLQ7g
...and then there's this	Artifacts	2021.0		Album	https://i.scdn.co/image/ab67616d0000b27323ef17fa212fbece25977dd2	https://open.spotify.com/album/7vCjFjpLyg66LoMDZsE6MQ	254d18f9-c80f-41e3-a9ad-af1bfac43103	US	38.0	9.0	7vCjFjpLyg66LoMDZsE6MQ
1	The NYChillharmonic	2016.0	Jazz Fusion, Progressive Big Band, Progressive Pop, Art Pop	album	https://i.scdn.co/image/ab67616d0000b2738adaafc660b7f02c7dcf20dc	https://open.spotify.com/album/2IuiJKaCJHnXRM1SjQxcHT	e7acbf6c-a537-424b-b806-c73c6783dc5a	XW	5.0	1.0	2IuiJKaCJHnXRM1SjQxcHT
1.000.000 Bon Jovi Fans Can't Be Wrong 2	Bon Jovi		Hard Rock, Soft Rock, Pop Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/3dad7df38cd048bea35ae9359d28d62c.jpg		afed704e-9472-4561-8623-92305c7536fb	XW	63.59283333333333	10.0	
1.5 ~ NIGHT FESTIVAL OF TEN-THOUSAND DEMONS	Holmgang Ov Gensokyo		Progressive Metal, Technical Death Metal, Black Metal, Djent, Melodic Metalcore	Album	https://lastfm.freetls.fastly.net/i/u/300x300/760026b97565af509d0306e469ff9be8.jpg		cda6c384-3efd-468d-9d7f-3d9c2bc4ce82	XW	46.0	7.0	
10	Tool	2006.0	Alternative Metal, Progressive Metal, Progressive Rock, Post-Metal	album	https://i.scdn.co/image/ab67616d0000b273781369aabc39c792cc55604f	https://open.spotify.com/album/1fvWYcbjuycyHpzNPH1Vfk	bf986a3f-88cf-43d9-860b-555faeadfaac	DE	21.0	3.0	1fvWYcbjuycyHpzNPH1Vfk
10,000 Days	Tool	2006.0	Alternative Metal, Progressive Metal, Progressive Rock, Post-Metal	album	https://i.scdn.co/image/ab67616d0000b273781369aabc39c792cc55604f	https://open.spotify.com/album/1fvWYcbjuycyHpzNPH1Vfk	a6988593-a2d7-35db-862a-efee729fa467	DE	75.0	11.0	1fvWYcbjuycyHpzNPH1Vfk
100,000,000 Bon Jovi Fans Can't Be Wrong (disc 4)	Bon Jovi		Hard Rock, Soft Rock, Pop Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/5ff35ac9a81b47b6a81fba8e5cb15e97.jpg		05ff40c6-57e4-4127-8a79-296b79b80611	US	63.59283333333333	3.0	
100,000,000 Bon Jovi Fans Can't Be Wrong... (DISC	Bon Jovi		Hard Rock, Soft Rock, Pop Rock	Album	https://lastfm.freetls.fastly.net/i/u/300x300/ca6e391dd75b45f294c9760f27d12744.jpg		afed704e-9472-4561-8623-92305c7536fb	XW	48.0	10.0	
